compute_type,num_workers,batch_size,experiment_type,arrival_rate,num_requests,total_time,successful_requests,average_time_per_request,throughput,average_latency,min_latency,max_latency,latency_90,latency_95,latency_99
default,2,1,constant,,8000,39.7314715385437,8000,0.0049664339423179,201.3517166672057,20.19295839908719,1.4722535610198977,38.76898288726807,35.00445508956909,36.87247443199158,38.40550374984741
default,2,1,poisson,500.0,8000,60.06683802604675,8000,0.0075083547532558,133.1849696588151,19.464190522521733,0.9302208423614502,38.01064276695252,34.275389671325684,36.13039541244507,37.63988423347473
default,2,2,constant,,8000,26.37441372871399,8000,0.0032968017160892,303.32427792661605,13.489482251644134,1.4502429962158203,25.42946767807007,23.03035473823548,24.23845267295837,25.201260328292847
default,2,2,poisson,500.0,8000,46.77803373336792,8000,0.0058472542166709,171.02044189372165,12.848795830488204,0.9326331615447998,24.76506209373474,22.35232925415039,23.561123847961422,24.53377342224121
default,2,4,constant,,8000,20.60209822654724,8000,0.0025752622783184,388.30996299646034,10.58152479737997,1.4869089126586914,19.6298770904541,17.82620358467102,18.73343586921692,19.459561586380005
default,2,4,poisson,500.0,8000,41.22600173950195,8000,0.0051532502174377,194.0522889061676,10.163921241790057,0.9548616409301758,19.27811551094055,17.461704969406128,18.378178358078003,19.10861015319824
default,2,8,constant,,8000,17.286858081817627,8000,0.0021608572602272,462.77929523899,9.092547569960356,1.4748618602752686,16.32830309867859,14.884655952453612,15.615495681762695,16.199893474578857
default,2,8,poisson,500.0,8000,38.11880540847778,8000,0.0047648506760597,209.8701655068332,8.339145182788371,0.9507057666778564,16.061366081237793,14.46402621269226,15.281307697296144,15.917441606521606
mps,2,1,constant,,8000,35.21842956542969,8000,0.0044023036956787,227.1537969953316,18.06585590922833,1.4760675430297852,34.25631761550903,31.03550815582276,32.6548433303833,33.9389443397522
mps,2,1,poisson,500.0,8000,55.71371078491211,8000,0.006964213848114,143.59122534280178,17.367377272546292,0.9246172904968262,33.7077751159668,30.4745409488678,32.09887361526489,33.39123487472534
mps,2,2,constant,,8000,20.78602123260498,8000,0.0025982526540756,384.8740415722846,10.70419229581952,1.441948175430298,19.834120273590088,17.990910530090332,18.920628547668457,19.65563488006592
mps,2,2,poisson,500.0,8000,41.1500895023346,8000,0.0051437611877918,194.4102697406316,10.06498184415698,0.9266724586486816,19.200713396072388,17.367342233657837,18.292941570281982,19.01845097541809
mps,2,4,constant,,8000,17.96895456314087,8000,0.0022461193203926,445.2123228365294,9.262938080459833,1.4793767929077148,16.972346782684326,15.436260223388672,16.215755462646484,16.836899518966675
mps,2,4,poisson,500.0,8000,38.35815095901489,8000,0.0047947688698768,208.56062662008603,8.629657612651586,0.9386942386627196,16.313716173171997,14.7978618144989,15.561209440231323,16.174978017807007
mps,2,8,constant,,8000,15.77437162399292,8000,0.0019717964529991,507.1517389530717,8.179947005540132,1.4770185947418213,14.817290782928469,13.453473329544067,14.150084733963013,14.69783902168274
mps,2,8,poisson,500.0,8000,36.16486859321594,8000,0.0045206085741519,221.2091543863841,7.538763797789812,0.9503614902496338,14.10424017906189,12.752157211303713,13.44337511062622,13.978709697723389
multiple_gpu,2,1,constant,,8000,35.27575159072876,8000,0.004409468948841,226.78467897201588,18.206073868989943,1.863471746444702,34.31884717941284,31.080671787261963,32.7114782333374,33.99986934661865
multiple_gpu,2,1,poisson,500.0,8000,55.37048888206482,8000,0.0069213111102581,144.48129611135326,17.16477264985442,0.9282047748565674,33.34830951690674,30.07895064353943,31.725265502929688,33.02758765220642
multiple_gpu,2,2,constant,,8000,19.91637349128723,8000,0.0024895466864109,401.67955293164897,10.230803634792569,1.3735792636871338,18.974727869033813,17.203026294708252,18.08454394340515,18.79963517189026
multiple_gpu,2,2,poisson,500.0,8000,40.26716232299805,8000,0.0050333952903747,198.67305115341856,9.64433518603444,0.9307096004486084,18.257939100265503,16.506613969802856,17.386555910110474,18.076594352722168
multiple_gpu,2,4,constant,,8000,12.009254693984984,8000,0.0015011568367481,666.1529132200785,6.286381316661835,1.3526391983032229,11.059732437133787,10.080485582351685,10.575246810913086,10.964617252349854
multiple_gpu,2,4,poisson,500.0,8000,32.80520009994507,8000,0.0041006500124931,243.86377695081933,5.930599244326353,0.9369421005249025,10.764355421066284,9.77904725074768,10.271806716918944,10.66974115371704
multiple_gpu,2,8,constant,,8000,9.778741359710692,8000,0.0012223426699638,818.1011958206329,5.139506158560515,1.363796949386597,8.821648359298706,8.05022668838501,8.436794757843018,8.759089708328247
multiple_gpu,2,8,poisson,500.0,8000,30.25792169570923,8000,0.0037822402119636,264.3935720520571,4.626664664894342,0.952150583267212,8.258156538009644,7.492765665054321,7.900922060012817,8.196106195449829
multiple_gpu,2,16,constant,,8000,8.430658340454102,8000,0.0010538322925567,948.9175906479796,4.223549470931292,0.951650619506836,7.47365403175354,6.816421031951904,7.1487345695495605,7.42070722579956
multiple_gpu,2,16,poisson,500.0,8000,29.644651174545288,8000,0.0037055813968181,269.863185533763,4.325261847645044,0.9583532810211182,7.555553674697876,6.8893983364105225,7.232394218444824,7.503007411956787
multiple_gpu,2,32,constant,,8000,9.077808141708374,8000,0.0011347260177135,881.2700020882421,4.815370466262102,1.4094629287719729,8.110258102416992,7.471335411071777,7.794570922851562,8.05866003036499
multiple_gpu,2,32,poisson,500.0,8000,29.739737033844,8000,0.0037174671292304,269.0003610622365,4.317858528256417,0.9449889659881592,7.666960000991821,6.998937606811523,7.339624643325806,7.614166021347046
default,2,32,constant,,8000,15.542348623275757,8000,0.0019427935779094,514.7227226662153,8.02168624612689,1.4397201538085938,14.604859113693236,13.316416025161743,13.965766191482544,14.508888483047484
